Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,VIX_Close,Economic_News_Flag,Sentiment_Score,Federal_Rate_Change_Flag,GeoPolitical_Risk_Score,Currency_Index
1990-01-03,359.69000244140625,358.760009765625,360.5899963378906,357.8900146484375,192330000,-0.258553940745887,2.699981689453125,18.190000534057617,0,,0,50.0,94.41999816894531
1990-01-04,358.760009765625,355.6700134277344,358.760009765625,352.8900146484375,177000000,-0.861298989234971,5.8699951171875,19.219999313354492,0,,0,50.0,92.5199966430664
1990-01-05,355.6700134277344,352.20001220703125,355.6700134277344,351.3500061035156,158530000,-0.9756237775744192,4.32000732421875,20.110000610351562,0,,0,50.0,92.8499984741211
1990-01-08,352.20001220703125,353.7900085449219,354.239990234375,350.5400085449219,140110000,0.45144698545780404,3.699981689453125,20.260000228881836,0,,0,50.0,92.05000305175781
1990-01-09,353.8299865722656,349.6199951171875,354.1700134277344,349.6099853515625,155210000,-1.1786690768585961,4.560028076171875,22.200000762939453,1,,0,50.0,92.3499984741211
1990-01-10,349.6199951171875,347.30999755859375,349.6199951171875,344.32000732421875,175990000,-0.6607166611908077,5.29998779296875,22.440000534057617,0,,0,50.0,92.38999938964844
1990-01-11,347.30999755859375,348.5299987792969,350.1400146484375,347.30999755859375,154390000,0.3512715525838761,2.83001708984375,20.049999237060547,0,,0,50.0,92.4000015258789
1990-01-12,348.5299987792969,339.92999267578125,348.5299987792969,339.489990234375,183880000,-2.4675081438144675,9.040008544921875,24.639999389648438,1,,0,50.0,92.43000030517578
1990-01-15,339.92999267578125,337.0,339.94000244140625,336.57000732421875,140590000,-0.8619400285092893,3.3699951171875,26.34000015258789,0,,0,50.0,92.83999633789062
1990-01-16,337.0,340.75,340.75,333.3699951171875,186070000,1.1127596439169052,7.3800048828125,24.18000030517578,0,,0,50.0,92.94000244140625
1990-01-17,340.7699890136719,337.3999938964844,342.010009765625,336.260009765625,170470000,-0.983127249747795,5.75,24.15999984741211,0,,0,50.0,92.72000122070312
1990-01-18,337.3999938964844,338.19000244140625,338.3800048828125,333.9800109863281,178590000,0.2341459867258422,4.399993896484375,24.34000015258789,0,,0,50.0,93.73999786376953
1990-01-19,338.19000244140625,339.1499938964844,340.4800109863281,338.19000244140625,185590000,0.2838615713498083,2.290008544921875,22.5,0,,0,50.0,93.69000244140625
1990-01-22,339.1400146484375,330.3800048828125,339.9599914550781,330.2799987792969,148380000,-2.585873263010774,9.67999267578125,26.700000762939453,1,,0,50.0,94.31999969482422
1990-01-23,330.3800048828125,331.6099853515625,332.760009765625,328.6700134277344,179300000,0.37229264803306794,4.089996337890625,24.719999313354492,0,,0,50.0,93.19000244140625
1990-01-24,331.6099853515625,330.260009765625,331.7099914550781,324.1700134277344,207830000,-0.40709738716290245,7.53997802734375,25.389999389648438,0,,0,50.0,93.02999877929688
1990-01-25,330.260009765625,326.0799865722656,332.3299865722656,325.3299865722656,172270000,-1.2656764578690027,7.0,25.6299991607666,0,,0,50.0,92.6500015258789
1990-01-26,326.0899963378906,325.79998779296875,328.5799865722656,321.44000244140625,198190000,-0.08586812770701169,7.139984130859375,26.280000686645508,0,,0,50.0,92.5199966430664
1990-01-29,325.79998779296875,325.20001220703125,327.30999755859375,321.7900085449219,150770000,-0.18415457594146423,5.519989013671875,26.440000534057617,0,,0,50.0,92.0999984741211
1990-01-30,325.20001220703125,322.9800109863281,325.7300109863281,319.8299865722656,186030000,-0.6826571763133282,5.9000244140625,27.25,0,,0,50.0,92.91000366210938
1990-01-31,322.9800109863281,329.0799865722656,329.0799865722656,322.9800109863281,189660000,1.888654213401364,6.0999755859375,25.360000610351562,1,-0.211,0,50.0,92.41000366210938
1990-02-01,329.0799865722656,328.7900085449219,329.8599853515625,327.760009765625,154580000,-0.0881177948146239,2.0999755859375,24.8700008392334,0,-0.147,1,50.0,92.16000366210938
1990-02-02,328.7900085449219,330.9200134277344,332.1000061035156,328.0899963378906,164400000,0.6478313900835753,4.010009765625,24.31999969482422,0,-0.076,0,50.0,92.44000244140625
1990-02-05,330.9200134277344,331.8500061035156,332.1600036621094,330.45001220703125,130950000,0.281032466470732,1.709991455078125,24.540000915527344,0,-0.102,0,50.0,91.54000091552734
1990-02-06,331.8500061035156,329.6600036621094,331.8599853515625,328.20001220703125,134070000,-0.659937441954761,3.65997314453125,24.690000534057617,0,-0.119,0,50.0,91.55000305175781
1990-02-07,329.6600036621094,333.75,333.760009765625,326.54998779296875,186710000,1.24067108307222,7.21002197265625,24.290000915527344,0,-0.065,0,50.0,91.75
1990-02-08,333.75,332.9599914550781,336.0899963378906,332.0,176240000,-0.2367066801264084,4.089996337890625,23.770000457763672,0,0.006,0,50.0,91.9800033569336
1990-02-09,333.0199890136719,333.6199951171875,334.6000061035156,332.4100036621094,146910000,0.19822311360144784,2.19000244140625,23.690000534057617,0,0.016,0,50.0,91.9800033569336
1990-02-12,333.6199951171875,330.0799865722656,333.6199951171875,329.9700012207031,118390000,-1.0610900415841118,3.649993896484375,24.3799991607666,0,-0.079,0,50.0,92.11000061035156
1990-02-13,330.0799865722656,331.0199890136719,331.6099853515625,327.9200134277344,144490000,0.2847801986323839,3.689971923828125,23.760000228881836,0,0.009,0,50.0,92.30000305175781
1990-02-14,331.0199890136719,332.010009765625,333.20001220703125,330.6400146484375,138530000,0.29908186357658906,2.55999755859375,22.049999237060547,0,0.251,0,50.0,92.12999725341797
1990-02-15,332.010009765625,334.8900146484375,335.2099914550781,331.6099853515625,174620000,0.8674451968618602,3.600006103515625,19.709999084472656,0,0.557,0,50.0,92.79000091552734
1990-02-16,334.8900146484375,332.7200012207031,335.6400146484375,332.4200134277344,166840000,-0.6479779428516075,3.220001220703125,20.780000686645508,0,0.39,0,50.0,92.18000030517578
1990-02-20,332.7200012207031,327.989990234375,332.7200012207031,326.260009765625,147300000,-1.4216190697807107,6.459991455078125,22.780000686645508,0,0.107,0,50.0,91.81999969482422
1990-02-21,327.9100036621094,327.6700134277344,328.1700134277344,324.4700012207031,159240000,-0.09755688166336318,3.70001220703125,23.889999389648438,0,-0.051,0,50.0,91.80000305175781
1990-02-22,327.6700134277344,325.70001220703125,330.9800109863281,325.70001220703125,184320000,-0.6012149845800896,5.279998779296875,22.540000915527344,0,0.143,0,50.0,91.9800033569336
1990-02-23,325.70001220703125,324.1499938964844,326.1499938964844,322.1000061035156,148490000,-0.4759036697737695,4.04998779296875,23.690000534057617,0,-0.026,0,50.0,92.16000366210938
1990-02-26,324.1600036621094,328.6700134277344,328.6700134277344,323.9800109863281,148900000,1.3944222169855802,4.69000244140625,23.559999465942383,1,-0.006,0,50.0,92.97000122070312
1990-02-27,328.67999267578125,330.260009765625,331.94000244140625,328.4700012207031,152590000,0.4837667791193878,3.470001220703125,22.690000534057617,0,0.123,0,50.0,92.70999908447266
1990-02-28,330.260009765625,331.8900146484375,333.4800109863281,330.1600036621094,184400000,0.49355199982257236,3.32000732421875,21.989999771118164,0,0.226,0,50.0,93.29000091552734
1990-03-01,331.8900146484375,332.739990234375,334.3999938964844,331.0799865722656,157930000,0.25610158438718056,3.32000732421875,21.899999618530273,0,0.235,1,50.0,94.0
1990-03-02,332.739990234375,335.5400085449219,335.5400085449219,332.7200012207031,164330000,0.8415033938585559,2.82000732421875,21.34000015258789,0,0.314,0,50.0,94.01000213623047
1990-03-05,335.5400085449219,333.739990234375,336.3800048828125,333.489990234375,140110000,-0.5364541529198519,2.8900146484375,22.030000686645508,0,0.204,0,50.0,93.2699966430664
1990-03-06,333.739990234375,337.92999267578125,337.92999267578125,333.57000732421875,143640000,1.2554690969049709,4.3599853515625,20.549999237060547,1,0.422,0,50.0,93.55999755859375
1990-03-07,337.92999267578125,336.95001220703125,338.8399963378906,336.3299865722656,163580000,-0.28999511436980097,2.510009765625,19.100000381469727,0,0.613,0,50.0,93.63999938964844
1990-03-08,336.95001220703125,340.2699890136719,340.6600036621094,336.95001220703125,170900000,0.985302474065719,3.709991455078125,19.739999771118164,0,0.498,0,50.0,93.52999877929688
1990-03-09,340.1199951171875,337.92999267578125,340.2699890136719,336.8399963378906,150410000,-0.687688133964881,3.42999267578125,20.299999237060547,0,0.404,0,50.0,93.87000274658203
1990-03-12,337.92999267578125,338.6700134277344,339.0799865722656,336.1400146484375,114790000,0.21898640783362122,2.939971923828125,20.06999969482422,0,0.426,0,50.0,94.38999938964844
1990-03-13,338.6700134277344,336.0,338.6700134277344,335.3599853515625,145440000,-0.7883820007300701,3.310028076171875,21.049999237060547,0,0.278,0,50.0,94.30000305175781
1990-03-14,336.0,336.8699951171875,337.6300048828125,334.92999267578125,145060000,0.25892711821056125,2.70001220703125,19.649999618530273,0,0.468,0,50.0,94.25
1990-03-15,336.8699951171875,338.07000732421875,338.9100036621094,336.8699951171875,144410000,0.3562241293154633,2.040008544921875,18.809999465942383,0,0.567,0,50.0,93.77999877929688
1990-03-16,338.07000732421875,341.9100036621094,341.9100036621094,338.07000732421875,222520000,1.135858329546502,3.839996337890625,17.6200008392334,0,0.696,0,50.0,93.80000305175781
1990-03-19,341.9100036621094,343.5299987792969,343.760009765625,339.1199951171875,142300000,0.4738074639045742,4.6400146484375,18.290000915527344,0,0.581,0,50.0,93.48999786376953
1990-03-20,343.5299987792969,341.57000732421875,344.489990234375,340.8699951171875,177320000,-0.5705444828814854,3.6199951171875,19.059999465942383,0,0.464,0,50.0,94.29000091552734
1990-03-21,341.57000732421875,339.739990234375,342.3399963378906,339.55999755859375,130990000,-0.5357663291867154,2.779998779296875,20.100000381469727,0,0.32,0,50.0,94.41000366210938
1990-03-22,339.739990234375,335.69000244140625,339.7699890136719,333.6199951171875,175930000,-1.1920845085604426,6.149993896484375,22.739999771118164,1,-0.03,0,50.0,94.16999816894531
1990-03-23,335.69000244140625,337.2200012207031,337.5799865722656,335.69000244140625,132070000,0.4557772850455777,1.889984130859375,20.459999084472656,0,0.271,0,50.0,94.37000274658203
1990-03-26,337.2200012207031,337.6300048828125,339.739990234375,337.2200012207031,116110000,0.12158343533159588,2.519989013671875,19.59000015258789,0,0.381,0,50.0,94.27999877929688
1990-03-27,337.6300048828125,341.5,341.5,337.0299987792969,131610000,1.1462236949381088,4.470001220703125,21.010000228881836,1,0.188,0,50.0,94.41000366210938
1990-03-28,341.5,342.0,342.5799865722656,340.6000061035156,142300000,0.14641288433381305,1.97998046875,19.770000457763672,0,0.349,0,50.0,94.47000122070312
1990-03-29,342.0,340.7900085449219,342.07000732421875,339.7699890136719,132190000,-0.35379867107547813,2.300018310546875,18.459999084472656,0,0.511,0,50.0,93.7300033569336
1990-03-30,340.7900085449219,339.94000244140625,341.4100036621094,338.2099914550781,139340000,-0.24942224895175835,3.20001220703125,19.729999542236328,0,0.336,0,50.0,93.69000244140625
1990-04-02,339.94000244140625,338.70001220703125,339.94000244140625,336.3299865722656,124360000,-0.3647673782048444,3.610015869140625,22.84000015258789,0,-0.077,0,50.0,94.05999755859375
1990-04-03,338.70001220703125,343.6400146484375,343.760009765625,338.70001220703125,154310000,1.458518530665609,5.05999755859375,20.440000534057617,1,0.242,0,50.0,94.01000213623047
1990-04-04,343.6400146484375,341.0899963378906,344.1199951171875,340.3999938964844,159530000,-0.7420609364004571,3.720001220703125,22.030000686645508,0,0.027,0,50.0,93.9800033569336
1990-04-05,341.0899963378906,340.7300109863281,342.8500061035156,340.6300048828125,144170000,-0.10553969785905837,2.220001220703125,21.209999084472656,0,0.138,0,50.0,93.86000061035156
1990-04-06,340.7300109863281,340.0799865722656,341.7300109863281,338.94000244140625,137490000,-0.19077404194037806,2.790008544921875,21.760000228881836,0,0.062,0,50.0,93.72000122070312
1990-04-09,340.0799865722656,341.3699951171875,341.8299865722656,339.8800048828125,114970000,0.3793250399484416,1.949981689453125,22.299999237060547,0,-0.012,0,50.0,93.68000030517578
1990-04-10,341.3699951171875,342.07000732421875,342.4100036621094,340.6199951171875,136020000,0.20505967631716526,1.790008544921875,21.690000534057617,0,0.072,0,50.0,93.0
1990-04-11,342.07000732421875,341.9200134277344,343.0,341.260009765625,141080000,-0.04384888861133085,1.739990234375,17.729999542236328,0,0.605,0,50.0,92.93000030517578
1990-04-12,341.9200134277344,344.3399963378906,344.7900085449219,341.9100036621094,142470000,0.7077628729292629,2.8800048828125,19.799999237060547,0,0.317,0,50.0,92.87000274658203
1990-04-16,344.3399963378906,344.739990234375,347.29998779296875,344.1000061035156,142810000,0.1161624849678633,3.199981689453125,20.75,0,0.185,0,50.0,93.33999633789062
